Phone timestamp;RR-interval [ms]
2023-03-13T21:37:28.524;590
2023-03-13T21:37:29.114;574
2023-03-13T21:37:29.688;565
2023-03-13T21:37:30.253;604
2023-03-13T21:37:30.857;704
2023-03-13T21:37:31.561;643
2023-03-13T21:37:32.204;649
2023-03-13T21:37:32.853;620
2023-03-13T21:37:33.473;597
2023-03-13T21:37:34.070;579
2023-03-13T21:37:34.649;593
2023-03-13T21:37:35.242;601
2023-03-13T21:37:35.843;595
2023-03-13T21:37:36.438;565
2023-03-13T21:37:37.003;567
2023-03-13T21:37:37.570;563
2023-03-13T21:37:38.133;561
2023-03-13T21:37:38.694;552
2023-03-13T21:37:39.246;561
2023-03-13T21:37:39.807;566
2023-03-13T21:37:40.373;541
2023-03-13T21:37:40.914;542
2023-03-13T21:37:41.456;550
2023-03-13T21:37:42.006;558
2023-03-13T21:37:42.564;558
2023-03-13T21:37:43.122;545
2023-03-13T21:37:43.667;536
2023-03-13T21:37:44.203;531
2023-03-13T21:37:44.734;526
2023-03-13T21:37:45.260;519
2023-03-13T21:37:45.779;515
2023-03-13T21:37:46.294;515
2023-03-13T21:37:46.809;506
2023-03-13T21:37:47.315;503
2023-03-13T21:37:47.818;501
2023-03-13T21:37:48.319;497
2023-03-13T21:37:48.816;498
2023-03-13T21:37:49.314;492
2023-03-13T21:37:49.806;490
2023-03-13T21:37:50.296;486
2023-03-13T21:37:50.782;480
2023-03-13T21:37:51.262;480
2023-03-13T21:37:51.742;478
2023-03-13T21:37:52.220;476
2023-03-13T21:37:52.696;473
2023-03-13T21:37:53.169;473
2023-03-13T21:37:53.642;464
2023-03-13T21:37:54.106;458
2023-03-13T21:37:54.564;453
2023-03-13T21:37:55.017;450
2023-03-13T21:37:55.467;453
2023-03-13T21:37:55.920;448
2023-03-13T21:37:56.368;450
2023-03-13T21:37:56.818;440
2023-03-13T21:37:57.258;438
2023-03-13T21:37:57.696;435
2023-03-13T21:37:58.131;433
2023-03-13T21:37:58.564;436
2023-03-13T21:37:59.000;432
2023-03-13T21:37:59.432;430
2023-03-13T21:37:59.862;423
2023-03-13T21:38:00.285;422
2023-03-13T21:38:00.707;424
2023-03-13T21:38:01.131;418
2023-03-13T21:38:01.549;418
2023-03-13T21:38:01.967;415
2023-03-13T21:38:02.382;417
2023-03-13T21:38:02.799;417
2023-03-13T21:38:03.216;420
2023-03-13T21:38:03.636;421
2023-03-13T21:38:04.057;421
2023-03-13T21:38:04.478;418
2023-03-13T21:38:04.896;419
