Phone timestamp;RR-interval [ms]
2023-03-14T17:06:18.247;522
2023-03-14T17:06:18.769;526
2023-03-14T17:06:19.295;541
2023-03-14T17:06:19.836;550
2023-03-14T17:06:20.386;541
2023-03-14T17:06:20.927;524
2023-03-14T17:06:21.451;516
2023-03-14T17:06:21.967;528
2023-03-14T17:06:22.495;519
2023-03-14T17:06:23.014;514
2023-03-14T17:06:23.528;518
2023-03-14T17:06:24.046;520
2023-03-14T17:06:24.566;528
2023-03-14T17:06:25.094;543
2023-03-14T17:06:25.637;592
2023-03-14T17:06:26.229;633
2023-03-14T17:06:26.862;633
2023-03-14T17:06:27.495;604
2023-03-14T17:06:28.099;580
2023-03-14T17:06:28.679;567
2023-03-14T17:06:29.246;550
2023-03-14T17:06:29.796;534
2023-03-14T17:06:30.330;521
2023-03-14T17:06:30.851;528
2023-03-14T17:06:31.379;580
