Phone timestamp;RR-interval [ms]
2023-03-14T17:23:37.255;557
2023-03-14T17:23:37.812;563
2023-03-14T17:23:38.375;563
2023-03-14T17:23:38.938;558
2023-03-14T17:23:39.496;580
2023-03-14T17:23:40.076;654
2023-03-14T17:23:40.730;662
2023-03-14T17:23:41.392;623
2023-03-14T17:23:42.015;610
2023-03-14T17:23:42.625;584
2023-03-14T17:23:43.209;570
2023-03-14T17:23:43.779;565
2023-03-14T17:23:44.344;562
2023-03-14T17:23:44.906;569
2023-03-14T17:23:45.475;590
2023-03-14T17:23:46.065;604
2023-03-14T17:23:46.669;587
2023-03-14T17:23:47.256;583
2023-03-14T17:23:47.839;572
2023-03-14T17:23:48.411;561
2023-03-14T17:23:48.972;553
2023-03-14T17:23:49.525;543
2023-03-14T17:23:50.068;533
2023-03-14T17:23:50.601;531
